epoch,acc_AE,f1_AE,acc_GAE1,f1_GAE1,acc_GAE2,f1_GAE2,acc_GAE3,f1_GAE3,acc_GAE4,f1_GAE4
1,0.86,0.9247,0.86,0.9247,0.83,0.9071,0.83,0.9071,0.86,0.9247
4,0.86,0.9247,0.88,0.9362,0.83,0.9071,0.83,0.9071,0.86,0.9247
7,0.85,0.9189,0.85,0.9189,0.82,0.9011,0.82,0.9011,0.87,0.9305
10,0.85,0.9189,0.86,0.9247,0.82,0.9011,0.82,0.9011,0.85,0.9189
13,0.89,0.9418,0.88,0.9362,0.82,0.9011,0.82,0.9011,0.91,0.9529
16,0.85,0.9189,0.86,0.9247,0.82,0.9011,0.82,0.9011,0.82,0.9011
19,0.84,0.913,0.87,0.9305,0.8,0.8889,0.8,0.8889,0.85,0.9189
22,0.87,0.9305,0.87,0.9305,0.83,0.9071,0.83,0.9071,0.91,0.9529
25,0.89,0.9418,0.86,0.9247,0.82,0.9011,0.82,0.9011,0.86,0.9247
28,0.86,0.9247,0.88,0.9362,0.8,0.8889,0.8,0.8889,0.86,0.9247
31,0.86,0.9247,0.87,0.9305,0.83,0.9071,0.83,0.9071,0.86,0.9247
34,0.87,0.9305,0.86,0.9247,0.81,0.895,0.81,0.895,0.86,0.9247
37,0.88,0.9362,0.86,0.9247,0.83,0.9071,0.83,0.9071,0.91,0.9529
1,0.9,0.9474,0.9,0.9474,0.83,0.9071,0.83,0.9071,0.87,0.9305
4,0.84,0.913,0.87,0.9305,0.83,0.9071,0.83,0.9071,0.85,0.9189
7,0.86,0.9247,0.86,0.9247,0.81,0.895,0.81,0.895,0.88,0.9362
10,0.85,0.9189,0.87,0.9305,0.82,0.9011,0.82,0.9011,0.84,0.913
13,0.84,0.913,0.85,0.9189,0.83,0.9071,0.83,0.9071,0.87,0.9305
16,0.86,0.9247,0.85,0.9189,0.83,0.9071,0.83,0.9071,0.88,0.9362
19,0.84,0.913,0.85,0.9189,0.8,0.8889,0.8,0.8889,0.85,0.9189
22,0.89,0.9418,0.84,0.913,0.82,0.9011,0.82,0.9011,0.86,0.9247
25,0.85,0.9189,0.85,0.9189,0.81,0.895,0.81,0.895,0.86,0.9247
28,0.88,0.9362,0.86,0.9247,0.83,0.9071,0.83,0.9071,0.87,0.9305
31,0.86,0.9247,0.86,0.9247,0.81,0.895,0.81,0.895,0.89,0.9418
34,0.86,0.9247,0.87,0.9305,0.82,0.9011,0.82,0.9011,0.85,0.9189
37,0.86,0.9247,0.85,0.9189,0.81,0.895,0.81,0.895,0.89,0.9418
1,0.88,0.9362,0.86,0.9247,0.82,0.9011,0.82,0.9011,0.88,0.9362
4,0.85,0.9189,0.85,0.9189,0.8,0.8889,0.8,0.8889,0.87,0.9305
7,0.85,0.9189,0.83,0.9071,0.83,0.9071,0.83,0.9071,0.84,0.913
10,0.86,0.9247,0.87,0.9305,0.82,0.9011,0.82,0.9011,0.84,0.913
13,0.87,0.9305,0.86,0.9247,0.83,0.9071,0.83,0.9071,0.83,0.9071
16,0.87,0.9305,0.83,0.9071,0.8,0.8889,0.8,0.8889,0.84,0.913
19,0.84,0.913,0.87,0.9305,0.83,0.9071,0.83,0.9071,0.87,0.9305
22,0.85,0.9189,0.88,0.9362,0.82,0.9011,0.82,0.9011,0.85,0.9189
25,0.9,0.9474,0.88,0.9362,0.81,0.895,0.81,0.895,0.88,0.9362
28,0.87,0.9305,0.85,0.9189,0.8,0.8889,0.8,0.8889,0.85,0.9189
31,0.89,0.9418,0.86,0.9247,0.83,0.9071,0.83,0.9071,0.88,0.9362
34,0.88,0.9362,0.86,0.9247,0.82,0.9011,0.82,0.9011,0.87,0.9305
37,0.87,0.9305,0.88,0.9362,0.83,0.9071,0.83,0.9071,0.88,0.9362
1,0.84,0.913,0.87,0.9305,0.81,0.895,0.81,0.895,0.86,0.9247
4,0.87,0.9305,0.86,0.9247,0.82,0.9011,0.82,0.9011,0.85,0.9189
7,0.83,0.9071,0.85,0.9189,0.82,0.9011,0.82,0.9011,0.83,0.9071
10,0.89,0.9418,0.87,0.9305,0.8,0.8889,0.8,0.8889,0.87,0.9305
13,0.88,0.9362,0.85,0.9189,0.81,0.895,0.81,0.895,0.87,0.9305
16,0.85,0.9189,0.87,0.9305,0.83,0.9071,0.83,0.9071,0.86,0.9247
19,0.85,0.9189,0.87,0.9305,0.83,0.9071,0.83,0.9071,0.86,0.9247
22,0.85,0.9189,0.85,0.9189,0.8,0.8889,0.8,0.8889,0.87,0.9305
25,0.87,0.9305,0.87,0.9305,0.83,0.9071,0.83,0.9071,0.88,0.9362
28,0.86,0.9247,0.88,0.9362,0.82,0.9011,0.82,0.9011,0.86,0.9247
31,0.87,0.9305,0.86,0.9247,0.82,0.9011,0.82,0.9011,0.86,0.9247
34,0.88,0.9362,0.87,0.9305,0.81,0.895,0.81,0.895,0.85,0.9189
37,0.86,0.9247,0.87,0.9305,0.83,0.9071,0.83,0.9071,0.9,0.9474
1,0.88,0.9362,0.86,0.9247,0.82,0.9011,0.82,0.9011,0.86,0.9247
4,0.86,0.9247,0.86,0.9247,0.82,0.9011,0.82,0.9011,0.85,0.9189
7,0.87,0.9305,0.83,0.9071,0.82,0.9011,0.82,0.9011,0.87,0.9305
10,0.87,0.9305,0.86,0.9247,0.8,0.8889,0.8,0.8889,0.84,0.913
13,0.84,0.913,0.86,0.9247,0.81,0.895,0.81,0.895,0.88,0.9362
16,0.89,0.9418,0.86,0.9247,0.83,0.9071,0.83,0.9071,0.85,0.9189
19,0.86,0.9247,0.86,0.9247,0.82,0.9011,0.82,0.9011,0.84,0.913
22,0.84,0.913,0.87,0.9305,0.8,0.8889,0.8,0.8889,0.87,0.9305
25,0.85,0.9189,0.85,0.9189,0.82,0.9011,0.82,0.9011,0.88,0.9362
28,0.89,0.9418,0.86,0.9247,0.81,0.895,0.81,0.895,0.88,0.9362
31,0.83,0.9071,0.85,0.9189,0.83,0.9071,0.83,0.9071,0.85,0.9189
34,0.87,0.9305,0.86,0.9247,0.82,0.9011,0.82,0.9011,0.86,0.9247
37,0.83,0.9071,0.88,0.9362,0.81,0.895,0.81,0.895,0.86,0.9247
